lineup_type,lambda,selfish_agent,game_idx,seed,turn_order,agent,expected_production,final_vp,total_resources_in_hand,prod_gini_game
CONVEX,0.0,GREEDY,99,100,1,R,0.305556,10,5,0.149425
CONVEX,0.0,GREEDY,99,100,2,GREEDY,0.666667,4,22,0.149425
CONVEX,0.0,AB,0,1,0,CONVEX,0.5,2,7,0.137931
CONVEX,0.0,AB,0,1,1,R,0.722222,10,5,0.137931
CONVEX,0.0,AB,0,1,2,AB,0.388889,3,4,0.137931
CONVEX,0.0,AB,1,2,0,CONVEX,0.611111,2,6,0.049751
CONVEX,0.0,AB,1,2,1,R,0.694444,10,1,0.049751
CONVEX,0.0,AB,1,2,2,AB,0.555556,3,3,0.049751
CONVEX,0.0,AB,2,3,0,CONVEX,0.583333,2,12,0.217949
CONVEX,0.0,AB,2,3,1,R,0.666667,10,2,0.217949
CONVEX,0.0,AB,2,3,2,AB,0.194444,3,4,0.217949
CONVEX,0.0,AB,3,4,0,CONVEX,0.638889,2,4,0.083333
CONVEX,0.0,AB,3,4,1,R,0.444444,2,4,0.083333
CONVEX,0.0,AB,3,4,2,AB,0.472222,10,5,0.083333
CONVEX,0.0,AB,4,5,0,CONVEX,0.666667,10,7,0.112821
CONVEX,0.0,AB,4,5,1,R,0.416667,3,12,0.112821
CONVEX,0.0,AB,4,5,2,AB,0.722222,2,10,0.112821
CONVEX,0.0,AB,5,6,0,CONVEX,0.638889,11,7,0.090395
CONVEX,0.0,AB,5,6,1,R,0.583333,2,5,0.090395
CONVEX,0.0,AB,5,6,2,AB,0.416667,2,6,0.090395
CONVEX,0.0,AB,6,7,0,CONVEX,0.388889,2,3,0.105263
CONVEX,0.0,AB,6,7,1,R,0.555556,2,7,0.105263
CONVEX,0.0,AB,6,7,2,AB,0.638889,10,0,0.105263
CONVEX,0.0,AB,7,8,0,CONVEX,0.583333,2,7,0.190476
CONVEX,0.0,AB,7,8,1,R,0.194444,2,4,0.190476
CONVEX,0.0,AB,7,8,2,AB,0.583333,10,0,0.190476
CONVEX,0.0,AB,8,9,0,CONVEX,0.277778,2,4,0.133333
CONVEX,0.0,AB,8,9,1,R,0.555556,10,1,0.133333
CONVEX,0.0,AB,8,9,2,AB,0.555556,2,6,0.133333
CONVEX,0.0,AB,9,10,0,CONVEX,0.666667,10,4,0.178571
CONVEX,0.0,AB,9,10,1,R,0.638889,2,12,0.178571
CONVEX,0.0,AB,9,10,2,AB,0.25,3,2,0.178571
CONVEX,0.0,AB,10,11,0,CONVEX,0.194444,2,5,0.205128
CONVEX,0.0,AB,10,11,1,R,0.638889,10,5,0.205128
CONVEX,0.0,AB,10,11,2,AB,0.611111,4,9,0.205128
CONVEX,0.0,AB,11,12,0,CONVEX,0.194444,2,6,0.205128
CONVEX,0.0,AB,11,12,1,R,0.638889,10,7,0.205128
CONVEX,0.0,AB,11,12,2,AB,0.611111,4,14,0.205128
CONVEX,0.0,AB,12,13,0,CONVEX,0.305556,3,3,0.152047
CONVEX,0.0,AB,12,13,1,R,0.666667,10,9,0.152047
CONVEX,0.0,AB,12,13,2,AB,0.611111,8,15,0.152047
