lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,MCTS,7,8,0.222222,0.166667,0.611111,0.444444,MCTS,570
CONVEX,0.0,MCTS,8,9,0.166667,0.277778,0.611111,0.333333,R,293
CONVEX,0.0,MCTS,9,10,0.101695,0.444444,0.694444,0.25,CONVEX,289
CONVEX,0.0,MCTS,10,11,0.130719,0.333333,0.611111,0.277778,MCTS,213
CONVEX,0.0,MCTS,11,12,0.17284,0.25,0.638889,0.388889,R,245
CONVEX,0.0,MCTS,12,13,0.185185,0.277778,0.694444,0.416667,R,629
CONVEX,0.0,MCTS,13,14,0.285714,0.111111,0.694444,0.583333,CONVEX,208
CONVEX,0.0,MCTS,14,15,0.217687,0.194444,0.638889,0.444444,R,323
CONVEX,0.0,MCTS,15,16,0.217391,0.277778,0.694444,0.416667,MCTS,117
CONVEX,0.0,MCTS,16,17,0.117647,0.361111,0.611111,0.25,R,533
CONVEX,0.0,MCTS,17,18,0.24359,0.222222,0.75,0.527778,R,152
CONVEX,0.0,MCTS,18,19,0.24,0.166667,0.666667,0.5,CONVEX,556
CONVEX,0.0,MCTS,19,20,0.060606,0.444444,0.583333,0.138889,CONVEX,256
CONVEX,0.0,MCTS,20,21,0.202381,0.305556,0.777778,0.472222,CONVEX,262
CONVEX,0.0,MCTS,21,22,0.115385,0.361111,0.611111,0.25,MCTS,213
CONVEX,0.0,MCTS,22,23,0.093333,0.388889,0.583333,0.194444,CONVEX,211
CONVEX,0.0,MCTS,23,24,0.195402,0.222222,0.694444,0.472222,CONVEX,205
CONVEX,0.0,MCTS,24,25,0.157576,0.277778,0.638889,0.361111,R,488
CONVEX,0.0,MCTS,25,26,0.241135,0.194444,0.666667,0.472222,NONE,1000
CONVEX,0.0,MCTS,26,27,0.118519,0.305556,0.527778,0.222222,MCTS,141
CONVEX,0.0,MCTS,27,28,0.301587,0.111111,0.638889,0.527778,R,320
CONVEX,0.0,MCTS,28,29,0.133333,0.361111,0.666667,0.305556,MCTS,210
CONVEX,0.0,MCTS,29,30,0.180556,0.277778,0.638889,0.361111,CONVEX,340
CONVEX,0.0,MCTS,30,31,0.163522,0.305556,0.666667,0.361111,MCTS,201
CONVEX,0.0,MCTS,31,32,0.124294,0.388889,0.694444,0.305556,MCTS,402
CONVEX,0.0,MCTS,32,33,0.111111,0.361111,0.611111,0.25,R,209
CONVEX,0.0,MCTS,33,34,0.115385,0.361111,0.611111,0.25,CONVEX,391
CONVEX,0.0,MCTS,34,35,0.230769,0.194444,0.694444,0.5,CONVEX,208
CONVEX,0.0,MCTS,35,36,0.084848,0.416667,0.611111,0.194444,CONVEX,484
CONVEX,0.0,MCTS,36,37,0.238994,0.166667,0.694444,0.527778,CONVEX,187
CONVEX,0.0,MCTS,37,38,0.289855,0.166667,0.722222,0.555556,CONVEX,331
CONVEX,0.0,MCTS,38,39,0.212121,0.222222,0.611111,0.388889,MCTS,993
CONVEX,0.0,MCTS,39,40,0.14966,0.305556,0.611111,0.305556,MCTS,255
CONVEX,0.0,MCTS,40,41,0.135802,0.333333,0.638889,0.305556,CONVEX,349
CONVEX,0.0,MCTS,41,42,0.222222,0.194444,0.694444,0.5,CONVEX,190
CONVEX,0.0,MCTS,42,43,0.234568,0.25,0.777778,0.527778,MCTS,666
CONVEX,0.0,MCTS,43,44,0.112994,0.416667,0.694444,0.277778,CONVEX,295
CONVEX,0.0,MCTS,44,45,0.150943,0.333333,0.666667,0.333333,R,245
CONVEX,0.0,MCTS,45,46,0.107143,0.361111,0.611111,0.25,MCTS,183
CONVEX,0.0,MCTS,46,47,0.135802,0.305556,0.611111,0.305556,MCTS,336
CONVEX,0.0,MCTS,47,48,0.126437,0.388889,0.694444,0.305556,CONVEX,142
CONVEX,0.0,MCTS,48,49,0.12,0.361111,0.611111,0.25,CONVEX,211
CONVEX,0.0,MCTS,49,50,0.133333,0.361111,0.666667,0.305556,CONVEX,295
CONVEX,0.0,MCTS,50,51,0.264151,0.166667,0.75,0.583333,CONVEX,133
CONVEX,0.0,MCTS,51,52,0.087432,0.444444,0.666667,0.222222,MCTS,282
CONVEX,0.0,MCTS,52,53,0.112994,0.388889,0.666667,0.277778,CONVEX,316
CONVEX,0.0,MCTS,53,54,0.126984,0.416667,0.75,0.333333,MCTS,150
CONVEX,0.0,MCTS,54,55,0.222222,0.166667,0.583333,0.416667,MCTS,789
CONVEX,0.0,MCTS,55,56,0.201258,0.222222,0.666667,0.444444,CONVEX,265
CONVEX,0.0,MCTS,56,57,0.033333,0.527778,0.611111,0.083333,R,236
CONVEX,0.0,MCTS,57,58,0.231293,0.194444,0.666667,0.472222,CONVEX,199
CONVEX,0.0,MCTS,58,59,0.166667,0.277778,0.638889,0.361111,R,422
CONVEX,0.0,MCTS,59,60,0.29932,0.138889,0.75,0.611111,R,221
