seed,method,lambda,node_id,capacity_dual
1,LP,0.4444444444444444,40,0.0
1,LP,0.4444444444444444,41,0.0
1,LP,0.4444444444444444,42,0.0
1,LP,0.4444444444444444,43,0.0
1,LP,0.4444444444444444,44,0.0
1,LP,0.4444444444444444,45,0.0
1,LP,0.4444444444444444,46,0.0
1,LP,0.4444444444444444,47,0.0
1,LP,0.4444444444444444,48,0.0
1,LP,0.4444444444444444,49,0.0
1,LP,0.4444444444444444,50,0.0
1,LP,0.4444444444444444,51,0.0
1,LP,0.4444444444444444,52,0.0
1,LP,0.4444444444444444,53,0.0
1,LP,0.6666666666666666,0,0.0
1,LP,0.6666666666666666,1,0.0005577227510372698
1,LP,0.6666666666666666,2,0.0
1,LP,0.6666666666666666,3,0.0
1,LP,0.6666666666666666,4,0.0
1,LP,0.6666666666666666,5,0.0
1,LP,0.6666666666666666,6,0.0
1,LP,0.6666666666666666,7,0.0
1,LP,0.6666666666666666,8,0.002612207704499478
1,LP,0.6666666666666666,9,0.0
1,LP,0.6666666666666666,10,0.002289796668023248
1,LP,0.6666666666666666,11,0.0
1,LP,0.6666666666666666,12,0.0
1,LP,0.6666666666666666,13,0.0
1,LP,0.6666666666666666,14,0.0
1,LP,0.6666666666666666,15,0.0
1,LP,0.6666666666666666,16,0.004078918130032572
1,LP,0.6666666666666666,17,0.0
1,LP,0.6666666666666666,18,0.0
1,LP,0.6666666666666666,19,0.0
1,LP,0.6666666666666666,20,0.0007306807507690952
1,LP,0.6666666666666666,21,0.0
1,LP,0.6666666666666666,22,0.0
1,LP,0.6666666666666666,23,0.0
1,LP,0.6666666666666666,24,0.0
1,LP,0.6666666666666666,25,0.0
1,LP,0.6666666666666666,26,0.0
1,LP,0.6666666666666666,27,0.0
1,LP,0.6666666666666666,28,0.0
1,LP,0.6666666666666666,29,0.0
1,LP,0.6666666666666666,30,0.0
1,LP,0.6666666666666666,31,0.0
1,LP,0.6666666666666666,32,0.0
1,LP,0.6666666666666666,33,0.0
1,LP,0.6666666666666666,34,0.0
1,LP,0.6666666666666666,35,0.0
1,LP,0.6666666666666666,36,0.0
1,LP,0.6666666666666666,37,0.0
1,LP,0.6666666666666666,38,0.0
1,LP,0.6666666666666666,39,0.0
1,LP,0.6666666666666666,40,0.0
1,LP,0.6666666666666666,41,0.0
1,LP,0.6666666666666666,42,0.0
1,LP,0.6666666666666666,43,0.0
1,LP,0.6666666666666666,44,0.0
1,LP,0.6666666666666666,45,0.0
1,LP,0.6666666666666666,46,0.0
1,LP,0.6666666666666666,47,0.0
1,LP,0.6666666666666666,48,0.0
1,LP,0.6666666666666666,49,0.0
1,LP,0.6666666666666666,50,0.0
1,LP,0.6666666666666666,51,0.0
1,LP,0.6666666666666666,52,0.0
1,LP,0.6666666666666666,53,0.0
1,LP,0.8888888888888888,0,0.0
1,LP,0.8888888888888888,1,0.0002986059735069384
1,LP,0.8888888888888888,2,0.0
1,LP,0.8888888888888888,3,0.0
1,LP,0.8888888888888888,4,0.0
1,LP,0.8888888888888888,5,0.0
1,LP,0.8888888888888888,6,0.0
1,LP,0.8888888888888888,7,0.0
1,LP,0.8888888888888888,8,0.0020580170331521664
1,LP,0.8888888888888888,9,0.0
1,LP,0.8888888888888888,10,0.0013900270516253722
1,LP,0.8888888888888888,11,0.0
1,LP,0.8888888888888888,12,0.0
1,LP,0.8888888888888888,13,0.0
1,LP,0.8888888888888888,14,0.0
1,LP,0.8888888888888888,15,0.0
1,LP,0.8888888888888888,16,0.0024983310191418217
1,LP,0.8888888888888888,17,0.0
1,LP,0.8888888888888888,18,0.0
1,LP,0.8888888888888888,19,0.0
1,LP,0.8888888888888888,20,0.0004243383595090259
1,LP,0.8888888888888888,21,0.0
1,LP,0.8888888888888888,22,0.0
1,LP,0.8888888888888888,23,0.0
1,LP,0.8888888888888888,24,0.0
1,LP,0.8888888888888888,25,0.0
