lambda,selfish_agent,game_idx,seed,vp_gini,vp_min,vp_max,vp_range,winner_agent,num_turns
1.777778,MCTS,3,4,0.2,4,10,6,R,440
1.777778,MCTS,4,5,0.173913,4,10,6,CONVEX,649
1.777778,VALUE,0,1,0.291667,3,10,7,R,101
1.777778,VALUE,1,2,0.333333,2,10,8,R,98
1.777778,VALUE,2,3,0.380952,2,10,8,R,122
1.777778,VALUE,3,4,0.333333,2,10,8,VALUE,108
1.777778,VALUE,4,5,0.333333,2,10,8,CONVEX,67
1.777778,WR,0,1,0.259259,3,10,7,CONVEX,157
1.777778,WR,1,2,0.355556,2,10,8,CONVEX,127
1.777778,WR,2,3,0.333333,2,10,8,WR,357
1.777778,WR,3,4,0.210526,4,10,6,WR,207
1.777778,WR,4,5,0.380952,2,10,8,R,218
2.0,GREEDY,0,1,0.333333,2,10,8,R,98
2.0,GREEDY,1,2,0.333333,2,10,8,CONVEX,148
2.0,GREEDY,2,3,0.333333,2,10,8,GREEDY,357
2.0,GREEDY,3,4,0.190476,4,10,6,GREEDY,231
2.0,GREEDY,4,5,0.222222,4,10,6,GREEDY,87
2.0,AB,0,1,0.333333,2,10,8,R,56
2.0,AB,1,2,0.380952,2,10,8,R,86
2.0,AB,2,3,0.380952,2,10,8,R,74
2.0,AB,3,4,0.333333,2,10,8,AB,96
2.0,AB,4,5,0.222222,4,10,6,CONVEX,64
2.0,MCTS,0,1,0.173913,4,10,6,MCTS,501
2.0,MCTS,1,2,0.333333,2,10,8,R,446
2.0,MCTS,2,3,0.266667,2,10,8,R,521
2.0,MCTS,3,4,0.315789,3,12,9,R,554
2.0,MCTS,4,5,0.296296,2,10,8,CONVEX,124
2.0,VALUE,0,1,0.291667,3,10,7,R,68
2.0,VALUE,1,2,0.380952,2,10,8,R,71
2.0,VALUE,2,3,0.380952,2,10,8,R,113
2.0,VALUE,3,4,0.333333,2,10,8,VALUE,78
2.0,VALUE,4,5,0.210526,4,10,6,CONVEX,58
2.0,WR,0,1,0.245614,3,10,7,CONVEX,166
2.0,WR,1,2,0.266667,2,10,8,R,308
2.0,WR,2,3,0.333333,2,10,8,WR,366
2.0,WR,3,4,0.210526,4,10,6,CONVEX,184
2.0,WR,4,5,0.380952,2,10,8,R,218
